index,date,description,event_id,away_team,home_team,julian_day
727,2015-04-16T00:00:00Z,Detroit Pistons at New York Knicks Tickets,9106913,Detroit Pistons,New York Knicks,2015_106
728,2015-01-19T20:30:00Z,Boston Celtics at Los Angeles Clippers Tickets,9106866,Boston Celtics,Los Angeles Clippers,2015_019
729,2015-01-09T01:00:00Z,Houston Rockets at New York Knicks Tickets,9106839,Houston Rockets,New York Knicks,2015_009
730,2015-01-24T00:30:00Z,Orlando Magic at New York Knicks Tickets,9106851,Orlando Magic,New York Knicks,2015_024
731,2014-11-25T00:00:00Z,Los Angeles Clippers at Charlotte Hornets Tickets,9107860,Los Angeles Clippers,Charlotte Hornets,2014_329
732,2015-02-10T01:30:00Z,Los Angeles Clippers at Dallas Mavericks Tickets,9107126,Los Angeles Clippers,Dallas Mavericks,2015_041
733,2015-03-25T00:00:00Z,Miami Heat at Milwaukee Bucks Tickets,9107705,Miami Heat,Milwaukee Bucks,2015_084
734,2015-01-08T01:00:00Z,Utah Jazz at Chicago Bulls Tickets,9107112,Utah Jazz,Chicago Bulls,2015_008
735,2015-01-13T01:00:00Z,Orlando Magic at Chicago Bulls Tickets,9107117,Orlando Magic,Chicago Bulls,2015_013
736,2015-01-15T01:00:00Z,Washington Wizards at Chicago Bulls Tickets,9107119,Washington Wizards,Chicago Bulls,2015_015
737,2015-01-25T18:00:00Z,Miami Heat at Chicago Bulls Tickets,9107129,Miami Heat,Chicago Bulls,2015_025
738,2015-03-10T00:00:00Z,Memphis Grizzlies at Chicago Bulls Tickets,9107163,Memphis Grizzlies,Chicago Bulls,2015_069
739,2015-03-19T00:00:00Z,Indiana Pacers at Chicago Bulls Tickets,9107164,Indiana Pacers,Chicago Bulls,2015_078
740,2015-03-04T01:00:00Z,Washington Wizards at Chicago Bulls Tickets,9107157,Washington Wizards,Chicago Bulls,2015_063
741,2015-02-28T01:00:00Z,Minnesota Timberwolves at Chicago Bulls Tickets,9107151,Minnesota Timberwolves,Chicago Bulls,2015_059
742,2015-02-24T01:00:00Z,Milwaukee Bucks at Chicago Bulls Tickets,9107144,Milwaukee Bucks,Chicago Bulls,2015_055
743,2015-03-24T00:00:00Z,Charlotte Hornets at Chicago Bulls Tickets,9107171,Charlotte Hornets,Chicago Bulls,2015_083
744,2015-03-21T00:00:00Z,Toronto Raptors at Chicago Bulls Tickets,9107167,Toronto Raptors,Chicago Bulls,2015_080
745,2014-12-04T01:00:00Z,Philadelphia 76ers at Minnesota Timberwolves Tickets,9107945,Philadelphia 76ers,Minnesota Timberwolves,2014_338
746,2014-12-13T00:00:00Z,Portland Trail Blazers at Chicago Bulls Tickets,9107093,Portland Trail Blazers,Chicago Bulls,2014_347
747,2014-12-31T03:00:00Z,Toronto Raptors at Portland Trail Blazers Tickets,9107424,Toronto Raptors,Portland Trail Blazers,2014_365
748,2015-03-13T23:30:00Z,Orlando Magic at Boston Celtics Tickets,9107077,Orlando Magic,Boston Celtics,2015_072
749,2015-01-05T00:30:00Z,Milwaukee Bucks at New York Knicks Tickets,9106834,Milwaukee Bucks,New York Knicks,2015_005
750,2014-12-31T03:30:00Z,Philadelphia 76ers at Golden State Warriors Tickets,9106844,Philadelphia 76ers,Golden State Warriors,2014_365
751,2014-12-30T03:30:00Z,Utah Jazz at Los Angeles Clippers Tickets,9106843,Utah Jazz,Los Angeles Clippers,2014_364
752,2014-12-27T03:00:00Z,Philadelphia 76ers at Portland Trail Blazers Tickets,9107408,Philadelphia 76ers,Portland Trail Blazers,2014_361
753,2015-04-13T23:30:00Z,Chicago Bulls at Brooklyn Nets Tickets,9107040,Chicago Bulls,Brooklyn Nets,2015_103
754,2015-04-16T00:00:00Z,Orlando Magic at Brooklyn Nets Tickets,9107041,Orlando Magic,Brooklyn Nets,2015_106
755,2015-04-08T23:30:00Z,Atlanta Hawks at Brooklyn Nets Tickets,9107036,Atlanta Hawks,Brooklyn Nets,2015_098
756,2015-04-10T23:30:00Z,Washington Wizards at Brooklyn Nets Tickets,9107039,Washington Wizards,Brooklyn Nets,2015_100
757,2015-04-16T00:00:00Z,Portland Trail Blazers at Dallas Mavericks Tickets,9107123,Portland Trail Blazers,Dallas Mavericks,2015_106
758,2015-01-09T03:30:00Z,Miami Heat at Portland Trail Blazers Tickets,9107382,Miami Heat,Portland Trail Blazers,2015_009
759,2015-03-31T23:30:00Z,Indiana Pacers at Brooklyn Nets Tickets,9107031,Indiana Pacers,Brooklyn Nets,2015_090
760,2015-03-29T19:30:00Z,Los Angeles Lakers at Brooklyn Nets Tickets,9107030,Los Angeles Lakers,Brooklyn Nets,2015_088
761,2014-12-23T00:00:00Z,Denver Nuggets at Charlotte Hornets Tickets,9107874,Denver Nuggets,Charlotte Hornets,2014_357
762,2015-02-22T00:00:00Z,Oklahoma City Thunder at Charlotte Hornets Tickets,9107897,Oklahoma City Thunder,Charlotte Hornets,2015_053
763,2015-04-12T02:30:00Z,Minnesota Timberwolves at Golden State Warriors Tickets,9108927,Minnesota Timberwolves,Golden State Warriors,2015_102
764,2015-02-22T23:00:00Z,Golden State Warriors at Indiana Pacers Tickets,9107517,Golden State Warriors,Indiana Pacers,2015_053
765,2014-11-20T00:00:00Z,Boston Celtics at Philadelphia 76ers Tickets,9107777,Boston Celtics,Philadelphia 76ers,2014_324
